0	0	เรืองเรือง	60	168	113	198
0	0	วันที่ 22 เดือน สิงหาคม พ.ศ.วันที่ 22 เดือน สิงหาคม พ.ศ.	60	212	323	244
0	0	25622562	324	219	387	242
0	0	เทลา 13:16เทลา 13:16	389	219	506	242
0	0	ซึ่งคณะกรรมาธิการวิสามัญพิจารณาเสร็จแล้วซึ่งคณะกรรมาธิการวิสามัญพิจารณาเสร็จแล้ว	829	192	1248	230
0	0	ข้อข้อ	829	235	871	266
0	0	ร่างข้อบังคับการประชุมสภาผู้แทนราษฎรร่างข้อบังคับการประชุมสภาผู้แทนราษฎร	831	156	1247	193
0	0	ั๓๕)เห็นด้วยกัา ง ซีสง๕  สิทธิ์ั๓๕)เห็นด้วยกัา ง ซีสง๕  สิทธิ์	873	229	1352	272
0	0	พ.ศ.พ.ศ.	1252	164	1302	183
0	0	๕@ 6๕@ 6	1314	177	1331	183
0	0	ฒ สฒ ส	1333	177	1350	183
0	1	จ้านวนผู้เข้าร่วมประชุมจ้านวนผู้เข้าร่วมประชุม	61	275	279	312
0	1	479479	435	279	487	301
0	1	ผู้สงวนค่าแปรณัตติผู้สงวนค่าแปรณัตติ	828	275	1020	313
0	2	เห็นด้วยเห็นด้วย	60	340	146	369
0	2	101101	439	344	484	368
0	3	ไม่เห็นด้วยไม่เห็นด้วย	58	405	168	434
0	3	365365	437	409	485	432
0	4	งดออกเสียงงดออกเสียง	61	471	178	500
0	4	1313	439	475	475	498
0	5	ไม่ลงคะแนนเสียงไม่ลงคะแนนเสียง	58	537	227	565
0	5	00	436	540	462	563
0	6	หน้า บ 1.98หน้า บ 1.98	1171	585	1302	613
0	7	ลําดับที่ลําดับที่	77	627	159	661
0	7	เลขที่บัตรเลขที่บัตร	196	627	299	660
0	7	ชื่อ-สกุลชื่อ-สกุล	322	627	413	666
0	7	ชื่อสังกัดชื่อสังกัด	811	626	905	659
0	7	ผลการลงคะแนนผลการลงคะแนน	1151	637	1321	658
0	8	11	107	688	129	711
0	8	บู01บู01	221	687	271	711
0	8	นายคนกนายคนก	322	689	415	710
0	8	ลิ้มตระกูลลิ้มตระกูล	417	675	520	718
0	8	พรรคเพื่อไทยพรรคเพื่อไทย	812	677	949	710
0	8	เห็นด้วยเห็นด้วย	1152	680	1236	709
0	9	22	106	738	131	761
0	9	002002	222	738	273	761
0	9	ศาสตราจารย์กนกศาสตราจารย์กนก	323	732	499	761
0	9	วงษ์ตระหง่านวงษ์ตระหง่าน	500	732	637	762
0	9	พรรคประชาธีปัตย์พรรคประชาธีปัตย์	812	732	992	761
0	9	ไม่เห็นด้วยไม่เห็นด้วย	1150	731	1259	760
0	10	33	107	789	131	812
0	10	003003	222	788	274	812
0	10	นายกมลศักดิ์นายกมลศักดิ์	323	777	455	811
0	10	สิวาเมาะสิวาเมาะ	457	783	548	810
0	10	พรรคประชาชาติพรรคประชาชาติ	813	783	977	810
0	10	งดออกเสียงงดออกเสียง	1153	782	1270	810
0	11	เ4.เ4.	105	840	131	861
0	11	เจงลเจงล	222	839	274	863
0	11	นายกรณ์นายกรณ์	323	834	419	862
0	11	จาติกวณิชจาติกวณิช	420	834	527	862
0	11	พรรคประชาธิปัตย์พรรคประชาธิปัตย์	813	833	992	862
0	11	เห็นด้วยเห็นด้วย	1152	832	1239	861
0	12	55	107	889	131	913
0	12	0505	222	889	274	913
0	12	นางกรณีศนางกรณีศ	323	885	429	912
0	12	งามสุคนธ์รัตนางามสุคนธ์รัตนา	432	884	581	919
0	12	พรรคพลังประชารัฐพรรคพลังประชารัฐ	813	885	1001	919
0	12	ไม่เห็นด้วยไม่เห็นด้วย	1149	883	1260	912
0	13	66	105	941	131	963
0	13	006006	223	940	274	963
0	13	นายกรวีร์นายกรวีร์	323	934	422	963
0	13	ปริศนานันทกุลปริศนานันทกุล	423	935	571	970
0	13	พรรคภูมิใจไทยพรรคภูมิใจไทย	812	933	962	971
0	13	ไม่เห็นด้วยไม่เห็นด้วย	1150	933	1260	963
0	14	ซุ๊ซุ๊	107	990	130	1011
0	14	007007	222	990	273	1013
0	14	นายกรุงศรีวิไลนายกรุงศรีวิไล	323	985	467	1019
0	14	สุหินเผือกสุหินเผือก	469	985	571	1019
0	14	พรรคพลังประชารัฐพรรคพลังประชารัฐ	812	985	1001	1020
0	14	ไม่เห็นด้วยไม่เห็นด้วย	1150	984	1260	1014
0	15	ธิธิ	104	1040	131	1063
0	15	008008	222	1040	274	1064
0	15	นายกฤติเดชนายกฤติเดช	323	1036	448	1068
0	15	สันติวชิระกุลสันติวชิระกุล	449	1036	578	1070
0	15	พรรคอนาคตใหม่พรรคอนาคตใหม่	813	1034	980	1063
0	15	เห็นด้วยเห็นด้วย	1152	1034	1239	1064
0	16	99	105	1091	131	1113
0	16	009009	222	1090	273	1113
0	16	นายกฤษฎานายกฤษฎา	322	1093	442	1121
0	16	ตันเทอดทิตย์ตันเทอดทิตย์	443	1086	574	1114
0	16	พรรคเพื่อไทยพรรคเพื่อไทย	813	1082	949	1114
0	16	ไม่เห็นด้วยไม่เห็นด้วย	1150	1085	1260	1115
0	17	1010	102	1141	137	1165
0	17	010010	222	1141	274	1164
0	17	นายกฤษณ์นายกฤษณ์	322	1137	436	1170
0	17	แก้วอยู่แก้วอยู่	437	1136	514	1172
0	17	พรรคพลังประชารัฐพรรคพลังประชารัฐ	812	1137	1001	1172
0	17	ไม่เห็นด้วยไม่เห็นด้วย	1150	1136	1260	1166
0	18	1111	102	1193	135	1215
0	18	011011	222	1192	271	1215
0	18	นางสาวกวินนาถนางสาวกวินนาถ	323	1187	484	1215
